Parque distribuido por tipo de vehículo, carburante y provincia.
Comunidad Autónoma/Provincia residencia: Andalucía/Granada
Tipo de Vehículo: AUTOBUSES, CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, CUATRICICLOS LIGEROS, FURGONETAS, MOTOCICLETAS, OTROS VEHÍCULOS, REMOLQUES, SEMIRREMOLQUES, TRACTORES INDUSTRIALES, TURISMOS
Carburante: Etanol, Otros, Gasolina, Gas Licuado de Petroleo, Gas Natural Licuado, Gasolina, Gas Natural Comprimido, Diesel, Biodiesel, Eléctrico, Diesel, Biometano, Hidrógeno, Diesel, Diesel

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Total
TOTAL;TOTAL;TOTAL;719763
TOTAL;AUTOBUSES;TOTAL;1154
TOTAL;CAMIONES HASTA 3500kg;TOTAL;45469
TOTAL;CAMIONES MÁS DE 3500kg;TOTAL;6582
TOTAL;CICLOMOTORES;TOTAL;74736
TOTAL;FURGONETAS;TOTAL;57366
TOTAL;MOTOCICLETAS;TOTAL;86063
TOTAL;OTROS VEHÍCULOS;TOTAL;7862
TOTAL;REMOLQUES;TOTAL;2561
TOTAL;SEMIRREMOLQUES;TOTAL;4144
TOTAL;TRACTORES INDUSTRIALES;TOTAL;3470
TOTAL;TURISMOS;TOTAL;430356
Andalucía/Granada;AUTOBUSES;TOTAL;1154
Andalucía/Granada;AUTOBUSES;Diesel;1150
Andalucía/Granada;AUTOBUSES;Gasolina;4
Andalucía/Granada;CAMIONES HASTA 3500kg;TOTAL;45469
Andalucía/Granada;CAMIONES HASTA 3500kg;Biometano;1
Andalucía/Granada;CAMIONES HASTA 3500kg;Diesel;44690
Andalucía/Granada;CAMIONES HASTA 3500kg;Eléctrico;2
Andalucía/Granada;CAMIONES HASTA 3500kg;Gasolina;776
Andalucía/Granada;CAMIONES MÁS DE 3500kg;TOTAL;6582
Andalucía/Granada;CAMIONES MÁS DE 3500kg;Diesel;6512
Andalucía/Granada;CAMIONES MÁS DE 3500kg;Gasolina;70
Andalucía/Granada;CICLOMOTORES;TOTAL;74736
Andalucía/Granada;CICLOMOTORES;Diesel;916
Andalucía/Granada;CICLOMOTORES;Eléctrico;34
Andalucía/Granada;CICLOMOTORES;Gasolina;73785
Andalucía/Granada;CICLOMOTORES;Sin especificar;1
Andalucía/Granada;FURGONETAS;TOTAL;57366
Andalucía/Granada;FURGONETAS;Diesel;48198
Andalucía/Granada;FURGONETAS;Eléctrico;1
Andalucía/Granada;FURGONETAS;Gas Licuado de Petroleo;5
Andalucía/Granada;FURGONETAS;Gasolina;9157
Andalucía/Granada;FURGONETAS;Otros;4
Andalucía/Granada;FURGONETAS;Solar;1
Andalucía/Granada;MOTOCICLETAS;TOTAL;86063
Andalucía/Granada;MOTOCICLETAS;Diesel;36
Andalucía/Granada;MOTOCICLETAS;Eléctrico;102
Andalucía/Granada;MOTOCICLETAS;Gasolina;85924
Andalucía/Granada;MOTOCICLETAS;Otros;1
Andalucía/Granada;OTROS VEHÍCULOS;TOTAL;7862
Andalucía/Granada;OTROS VEHÍCULOS;Diesel;5623
Andalucía/Granada;OTROS VEHÍCULOS;Eléctrico;18
Andalucía/Granada;OTROS VEHÍCULOS;Gasolina;2025
Andalucía/Granada;OTROS VEHÍCULOS;Otros;10
Andalucía/Granada;OTROS VEHÍCULOS;Sin especificar;186
Andalucía/Granada;REMOLQUES;TOTAL;2561
Andalucía/Granada;REMOLQUES;Sin especificar;2561
Andalucía/Granada;SEMIRREMOLQUES;TOTAL;4144
Andalucía/Granada;SEMIRREMOLQUES;Sin especificar;4144
Andalucía/Granada;TRACTORES INDUSTRIALES;TOTAL;3470
Andalucía/Granada;TRACTORES INDUSTRIALES;Diesel;3470
Andalucía/Granada;TURISMOS;TOTAL;430356
Andalucía/Granada;TURISMOS;Biodiesel;6
Andalucía/Granada;TURISMOS;Butano;3
Andalucía/Granada;TURISMOS;Diesel;263681
Andalucía/Granada;TURISMOS;Eléctrico;26
Andalucía/Granada;TURISMOS;Gas Licuado de Petroleo;4
Andalucía/Granada;TURISMOS;Gasolina;166616
Andalucía/Granada;TURISMOS;Otros;20
