Parque distribuido por tipo de vehículo, carburante y provincia.
Comunidad Autónoma/Provincia residencia: Andalucía/Granada
Tipo de Vehículo: AUTOBUSES, CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, CUATRICICLOS LIGEROS, FURGONETAS, MOTOCICLETAS, OTROS VEHÍCULOS, REMOLQUES, SEMIRREMOLQUES, TRACTORES INDUSTRIALES, TURISMOS
Carburante: Etanol, Otros, Gasolina, Gas Licuado de Petroleo, Gas Natural Licuado, Gasolina, Gas Natural Comprimido, Diesel, Biodiesel, Eléctrico, Diesel, Biometano, Hidrógeno, Diesel, Diesel

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Total
TOTAL;TOTAL;TOTAL;712933
TOTAL;AUTOBUSES;TOTAL;1134
TOTAL;CAMIONES HASTA 3500kg;TOTAL;45129
TOTAL;CAMIONES MÁS DE 3500kg;TOTAL;6554
TOTAL;CICLOMOTORES;TOTAL;76185
TOTAL;FURGONETAS;TOTAL;57411
TOTAL;MOTOCICLETAS;TOTAL;83306
TOTAL;OTROS VEHÍCULOS;TOTAL;9276
TOTAL;REMOLQUES;TOTAL;2415
TOTAL;SEMIRREMOLQUES;TOTAL;3904
TOTAL;TRACTORES INDUSTRIALES;TOTAL;3249
TOTAL;TURISMOS;TOTAL;424370
Andalucía/Granada;AUTOBUSES;TOTAL;1134
Andalucía/Granada;AUTOBUSES;Diesel;1130
Andalucía/Granada;AUTOBUSES;Gasolina;4
Andalucía/Granada;CAMIONES HASTA 3500kg;TOTAL;45129
Andalucía/Granada;CAMIONES HASTA 3500kg;Diesel;44363
Andalucía/Granada;CAMIONES HASTA 3500kg;Eléctrico;2
Andalucía/Granada;CAMIONES HASTA 3500kg;Gasolina;764
Andalucía/Granada;CAMIONES MÁS DE 3500kg;TOTAL;6554
Andalucía/Granada;CAMIONES MÁS DE 3500kg;Diesel;6485
Andalucía/Granada;CAMIONES MÁS DE 3500kg;Gasolina;69
Andalucía/Granada;CICLOMOTORES;TOTAL;76185
Andalucía/Granada;CICLOMOTORES;Diesel;884
Andalucía/Granada;CICLOMOTORES;Eléctrico;29
Andalucía/Granada;CICLOMOTORES;Gasolina;75272
Andalucía/Granada;FURGONETAS;TOTAL;57411
Andalucía/Granada;FURGONETAS;Diesel;48008
Andalucía/Granada;FURGONETAS;Eléctrico;2
Andalucía/Granada;FURGONETAS;Gas Licuado de Petroleo;1
Andalucía/Granada;FURGONETAS;Gasolina;9396
Andalucía/Granada;FURGONETAS;Otros;3
Andalucía/Granada;FURGONETAS;Solar;1
Andalucía/Granada;MOTOCICLETAS;TOTAL;83306
Andalucía/Granada;MOTOCICLETAS;Diesel;33
Andalucía/Granada;MOTOCICLETAS;Eléctrico;94
Andalucía/Granada;MOTOCICLETAS;Gasolina;83177
Andalucía/Granada;MOTOCICLETAS;Otros;2
Andalucía/Granada;OTROS VEHÍCULOS;TOTAL;9276
Andalucía/Granada;OTROS VEHÍCULOS;Diesel;6978
Andalucía/Granada;OTROS VEHÍCULOS;Eléctrico;17
Andalucía/Granada;OTROS VEHÍCULOS;Gasolina;2031
Andalucía/Granada;OTROS VEHÍCULOS;Otros;10
Andalucía/Granada;OTROS VEHÍCULOS;Sin especificar;240
Andalucía/Granada;REMOLQUES;TOTAL;2415
Andalucía/Granada;REMOLQUES;Sin especificar;2415
Andalucía/Granada;SEMIRREMOLQUES;TOTAL;3904
Andalucía/Granada;SEMIRREMOLQUES;Sin especificar;3904
Andalucía/Granada;TRACTORES INDUSTRIALES;TOTAL;3249
Andalucía/Granada;TRACTORES INDUSTRIALES;Diesel;3249
Andalucía/Granada;TURISMOS;TOTAL;424370
Andalucía/Granada;TURISMOS;Biodiesel;6
Andalucía/Granada;TURISMOS;Butano;3
Andalucía/Granada;TURISMOS;Diesel;255837
Andalucía/Granada;TURISMOS;Eléctrico;16
Andalucía/Granada;TURISMOS;Gas Licuado de Petroleo;2
Andalucía/Granada;TURISMOS;Gasolina;168485
Andalucía/Granada;TURISMOS;Otros;21
