Parque distribuido por tipo de vehículo, carburante y provincia.
Comunidad Autónoma/Provincia residencia: Andalucía/Granada
Tipo de Vehículo: AUTOBUSES, CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, CUATRICICLOS LIGEROS, FURGONETAS, MOTOCICLETAS, OTROS VEHÍCULOS, REMOLQUES, SEMIRREMOLQUES, TRACTORES INDUSTRIALES, TURISMOS
Carburante: Etanol, Otros, Gasolina, Gas Licuado de Petroleo, Gas Natural Licuado, Gasolina, Gas Natural Comprimido, Diesel, Biodiesel, Eléctrico, Diesel, Biometano, Hidrógeno, Diesel, Diesel

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Total
TOTAL;TOTAL;TOTAL;723388
TOTAL;AUTOBUSES;TOTAL;1145
TOTAL;CAMIONES HASTA 3500kg;TOTAL;44568
TOTAL;CAMIONES MÁS DE 3500kg;TOTAL;7461
TOTAL;CICLOMOTORES;TOTAL;82456
TOTAL;FURGONETAS;TOTAL;60366
TOTAL;MOTOCICLETAS;TOTAL;80143
TOTAL;OTROS VEHÍCULOS;TOTAL;8768
TOTAL;REMOLQUES;TOTAL;2295
TOTAL;SEMIRREMOLQUES;TOTAL;4076
TOTAL;TRACTORES INDUSTRIALES;TOTAL;3547
TOTAL;TURISMOS;TOTAL;428563
Andalucía/Granada;AUTOBUSES;TOTAL;1145
Andalucía/Granada;AUTOBUSES;Diesel;1125
Andalucía/Granada;AUTOBUSES;Gasolina;20
Andalucía/Granada;CAMIONES HASTA 3500kg;TOTAL;44568
Andalucía/Granada;CAMIONES HASTA 3500kg;Diesel;43727
Andalucía/Granada;CAMIONES HASTA 3500kg;Eléctrico;2
Andalucía/Granada;CAMIONES HASTA 3500kg;Gasolina;839
Andalucía/Granada;CAMIONES MÁS DE 3500kg;TOTAL;7461
Andalucía/Granada;CAMIONES MÁS DE 3500kg;Diesel;7379
Andalucía/Granada;CAMIONES MÁS DE 3500kg;Gasolina;82
Andalucía/Granada;CICLOMOTORES;TOTAL;82456
Andalucía/Granada;CICLOMOTORES;Diesel;1042
Andalucía/Granada;CICLOMOTORES;Eléctrico;15
Andalucía/Granada;CICLOMOTORES;Gasolina;81399
Andalucía/Granada;FURGONETAS;TOTAL;60366
Andalucía/Granada;FURGONETAS;Diesel;49695
Andalucía/Granada;FURGONETAS;Gasolina;10667
Andalucía/Granada;FURGONETAS;Otros;3
Andalucía/Granada;FURGONETAS;Solar;1
Andalucía/Granada;MOTOCICLETAS;TOTAL;80143
Andalucía/Granada;MOTOCICLETAS;Diesel;46
Andalucía/Granada;MOTOCICLETAS;Eléctrico;45
Andalucía/Granada;MOTOCICLETAS;Gasolina;80050
Andalucía/Granada;MOTOCICLETAS;Otros;2
Andalucía/Granada;OTROS VEHÍCULOS;TOTAL;8768
Andalucía/Granada;OTROS VEHÍCULOS;Diesel;6544
Andalucía/Granada;OTROS VEHÍCULOS;Eléctrico;22
Andalucía/Granada;OTROS VEHÍCULOS;Gasolina;1988
Andalucía/Granada;OTROS VEHÍCULOS;Otros;10
Andalucía/Granada;OTROS VEHÍCULOS;Sin especificar;204
Andalucía/Granada;REMOLQUES;TOTAL;2295
Andalucía/Granada;REMOLQUES;Sin especificar;2295
Andalucía/Granada;SEMIRREMOLQUES;TOTAL;4076
Andalucía/Granada;SEMIRREMOLQUES;Sin especificar;4076
Andalucía/Granada;TRACTORES INDUSTRIALES;TOTAL;3547
Andalucía/Granada;TRACTORES INDUSTRIALES;Diesel;3519
Andalucía/Granada;TRACTORES INDUSTRIALES;Gasolina;28
Andalucía/Granada;TURISMOS;TOTAL;428563
Andalucía/Granada;TURISMOS;Butano;3
Andalucía/Granada;TURISMOS;Diesel;241662
Andalucía/Granada;TURISMOS;Eléctrico;4
Andalucía/Granada;TURISMOS;Gasolina;186866
Andalucía/Granada;TURISMOS;Otros;25
Andalucía/Granada;TURISMOS;Solar;3
